dataset,model,classes_subset,seed,method,nb_concepts,interpretation,prompt_type,specification,time,score,num_correct,num_valid,num_expected
BIOS,RB,"[21, 22, 26]",19,SemiNMF,84,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.7,14,20,20
BIOS,RB,"[21, 22, 26]",19,PCA,84,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.7,14,20,20
BIOS,RB,"[21, 22, 26]",33,ICA,84,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.75,15,20,20
BIOS,RB,"[21, 22, 26]",11,VanillaSAE,84,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.75,15,20,20
BIOS,RB,"[21, 22, 26]",29,NeuronsAs,,topk,C1,old_consim,2026-07-14T15:51:55.192259,0.85,17,20,20
BIOS,RB,"[6, 19, 25]",10,baseline,28,,B1,old_consim,2026-07-14T15:51:55.192259,0.7,14,20,20
BIOS,RB,"[21, 22, 26]",18,SVD,84,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
E,B,"[0, 1, 2, 3, 4, 5]",45,baseline,,llm,AB2,old_consim,2026-07-14T15:51:55.192259,0.15,3,20,20
BIOS,RB,"[21, 22, 26]",37,ClassesAs,28,,AC2,old_consim,2026-07-14T15:51:55.192259,0.4,8,20,20
BIOS,RB,"[21, 22, 26]",20,SemiNMF,84,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.55,11,20,20
IMDB,B,"[0, 1]",36,VanillaSAE,6,llm,AC3,old_consim,2026-07-14T15:51:55.192259,0.45,9,20,20
BIOS,RB,"[21, 22, 26]",19,PCA,84,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.45,9,20,20
BIOS,RB,"[21, 22, 26]",34,ICA,84,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.6,12,20,20
BIOS,RB,"[21, 22, 26]",11,VanillaSAE,84,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.85,17,20,20
BIOS,RB,"[6, 19, 25]",1,NeuronsAs,,llm,AC3,old_consim,2026-07-14T15:51:55.192259,0.4,8,20,20
E,B,"[0, 1, 2, 3, 4, 5]",45,baseline,,llm,B2,old_consim,2026-07-14T15:51:55.192259,0.3,6,20,20
BIOS,RB,"[6, 19, 25]",10,baseline,28,,AB2,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
BIOS,RB,"[21, 22, 26]",37,ClassesAs,28,,C2,old_consim,2026-07-14T15:51:55.192259,0.7,14,20,20
BIOS,RB,"[21, 22, 26]",19,SVD,84,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.75,15,20,20
BIOS,RB,"[21, 22, 26]",20,SemiNMF,84,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.6,12,20,20
BIOS,RB,"[21, 22, 26]",19,PCA,84,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",34,ICA,84,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",11,VanillaSAE,84,topk,C3,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
IMDB,B,"[0, 1]",36,VanillaSAE,6,llm,C3,old_consim,2026-07-14T15:51:55.192259,0.3,6,20,20
BIOS,RB,"[21, 22, 26]",29,NeuronsAs,,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
BIOS,RB,"[6, 19, 25]",10,baseline,28,,B2,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
BIOS,RB,"[21, 22, 26]",19,SVD,84,topk,C2,old_consim,2026-07-14T15:51:55.192259,0.8,16,20,20
BIOS,RB,"[21, 22, 26]",38,ClassesAs,28,,AC1,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
E,B,"[0, 1, 2, 3, 4, 5]",45,baseline,,llm,AB1,old_consim,2026-07-14T15:51:55.192259,0.05,1,20,20
BIOS,RB,"[21, 22, 26]",20,SemiNMF,84,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.55,11,20,20
BIOS,RB,"[21, 22, 26]",34,ICA,84,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
BIOS,RB,"[21, 22, 26]",20,PCA,84,topk,AC3,old_consim,2026-07-14T15:51:55.192259,0.65,13,20,20
BIOS,RB,"[21, 22, 26]",11,VanillaSAE,84,topk,AC2,old_consim,2026-07-14T15:51:55.192259,0.85,17,20,20
BIOS,RB,"[6, 19, 25]",1,NeuronsAs,,llm,C3,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
IMDB,B,"[0, 1]",37,VanillaSAE,6,llm,AC1,old_consim,2026-07-14T15:51:55.192259,0.5,10,20,20
